subID,trial,setSize,targetPresent,response,RT
ReTest.Olu.Mono,13,8,0,LeftArrow,0.45039
ReTest.Olu.Mono,14,16,1,RightArrow,0.589166
ReTest.Olu.Mono,15,8,1,RightArrow,0.649754
ReTest.Olu.Mono,16,4,1,RightArrow,0.585293
ReTest.Olu.Mono,17,4,1,RightArrow,0.516372
ReTest.Olu.Mono,18,16,0,LeftArrow,0.639549
ReTest.Olu.Mono,19,4,0,LeftArrow,0.719415
ReTest.Olu.Mono,20,8,1,LeftArrow,0.531027
ReTest.Olu.Mono,21,16,1,RightArrow,0.541209
ReTest.Olu.Mono,22,16,0,LeftArrow,0.782971
ReTest.Olu.Mono,23,4,0,LeftArrow,0.721239
ReTest.Olu.Mono,24,16,1,RightArrow,0.704553
ReTest.Olu.Mono,25,4,0,LeftArrow,0.719251
ReTest.Olu.Mono,26,4,0,LeftArrow,0.72919
ReTest.Olu.Mono,27,8,0,LeftArrow,0.836562
ReTest.Olu.Mono,28,8,0,LeftArrow,0.676805
ReTest.Olu.Mono,29,16,1,RightArrow,0.585999
ReTest.Olu.Mono,30,8,1,RightArrow,0.555727
ReTest.Olu.Mono,31,4,0,LeftArrow,0.525237
ReTest.Olu.Mono,32,8,1,RightArrow,0.611987
ReTest.Olu.Mono,33,4,0,LeftArrow,0.727776
ReTest.Olu.Mono,34,8,0,LeftArrow,0.67449
ReTest.Olu.Mono,35,8,0,LeftArrow,0.539978
ReTest.Olu.Mono,36,4,1,RightArrow,0.683191
ReTest.Olu.Mono,37,4,1,RightArrow,0.659757
ReTest.Olu.Mono,38,8,1,RightArrow,0.850371
ReTest.Olu.Mono,39,16,0,LeftArrow,0.670256
ReTest.Olu.Mono,40,8,1,RightArrow,0.651473
ReTest.Olu.Mono,41,8,0,LeftArrow,0.531082
ReTest.Olu.Mono,42,8,1,RightArrow,0.628374
