subID,trial,setSize,targetPresent,response,RT
ReTest.Olu.Bi,33,8,0,LeftArrow,1.5818
ReTest.Olu.Bi,34,4,0,RightArrow,1.516515
ReTest.Olu.Bi,35,16,1,RightArrow,2.855833
ReTest.Olu.Bi,36,8,0,LeftArrow,1.482915
ReTest.Olu.Bi,37,8,1,RightArrow,1.375621
ReTest.Olu.Bi,38,4,0,LeftArrow,1.243171
ReTest.Olu.Bi,39,4,0,LeftArrow,0.673821
ReTest.Olu.Bi,40,8,0,LeftArrow,1.771751
ReTest.Olu.Bi,41,4,0,LeftArrow,1.3358
ReTest.Olu.Bi,42,16,1,RightArrow,2.338639
